id,title,salary,department_id
1,Manager,75000,1
2,"General Production Worker",35000,1
3,"Senior Production Worker",65000,1
4,Manager,90000,2
5,"Marketing Analyst",60000,2
6,"Marketing Specialist",50000,2
7,"Markeing Coordinator",50000,2
8,"Marketing Consultant",50000,2
9,Manager,80000,3
10,Accountant,60000,3
11,"Accounts Payable",45000,3
12,"Accounts Receivable",45000,3
13,Bookkeeper,30000,3
14,Manager,70000,4
15,"Employement Specialist",25000,4
16,"HR Coordinator",30000,4
17,"HR Recruiter",55000,4
18,"Labor Relations",80000,4
